Month,Day,Lake,Site,Length,Infection
May,1,Batorino,S3,14.9,36
May,1,Batorino,S3,14.0,30
May,1,Batorino,S3,13.0,331
May,1,Batorino,S3,14.0,110
May,1,Batorino,S3,12.0,4
May,1,Batorino,S3,14.0,171
May,1,Batorino,S3,12.0,31
May,1,Batorino,S3,19.0,887
May,1,Batorino,S3,16.5,525
May,1,Batorino,S3,18.0,497
May,1,Batorino,S3,19.0,56
May,1,Batorino,S3,19.0,1599
May,1,Batorino,S3,19.0,692
May,1,Batorino,S3,23.0,86
May,1,Batorino,S3,22.0,1768
May,1,Batorino,S3,22.0,183
May,1,Batorino,S3,22.0,1209
May,1,Batorino,S2,11.5,53
May,1,Batorino,S2,13.0,21
May,1,Batorino,S2,11.5,70
May,1,Batorino,S2,11.5,79
May,1,Batorino,S2,18.0,55
May,1,Batorino,S2,18.0,353
May,1,Batorino,S2,19.0,261
May,1,Batorino,S2,16.0,131
May,1,Batorino,S2,19.0,69
May,1,Batorino,S2,17.5,280
May,1,Batorino,S2,18.5,17
May,1,Batorino,S2,21.0,32
May,1,Batorino,S2,21.0,118
May,1,Batorino,S2,21.0,389
May,1,Batorino,S1,13.0,182
May,1,Batorino,S1,14.0,36
May,1,Batorino,S1,12.0,320
May,1,Batorino,S1,14.0,235
May,1,Batorino,S1,14.0,109
May,1,Batorino,S1,13.0,121
May,1,Batorino,S1,14.0,119
May,1,Batorino,S1,17.0,217
May,1,Batorino,S1,15.5,135
May,1,Batorino,S1,15.0,215
May,1,Batorino,S1,18.5,241
May,1,Batorino,S1,17.0,447
May,1,Batorino,S1,16.0,766
May,1,Batorino,S1,16.0,950
July,62,Batorino,S3,15.5,1400
July,62,Batorino,S3,17.0,1086
July,62,Batorino,S3,16.0,925
July,62,Batorino,S3,17.0,2400
July,62,Batorino,S3,16.0,132
July,62,Batorino,S3,15.0,703
July,62,Batorino,S3,15.0,668
July,62,Batorino,S3,23.0,1716
July,62,Batorino,S3,22.0,1649
July,62,Batorino,S3,22.5,684
July,62,Batorino,S3,23.0,1418
July,62,Batorino,S3,22.5,1007
July,62,Batorino,S3,25.0,827
July,62,Batorino,S3,25.0,2551
July,62,Batorino,S2,18.0,809
July,62,Batorino,S2,16.0,891
July,62,Batorino,S2,15.5,473
July,62,Batorino,S2,17.0,1292
July,62,Batorino,S2,17.5,119
July,62,Batorino,S2,21.0,655
July,62,Batorino,S2,21.0,291
July,62,Batorino,S2,23.0,576
July,62,Batorino,S2,22.5,1845
July,62,Batorino,S2,21.0,25
July,62,Batorino,S2,21.0,1176
July,62,Batorino,S2,23.0,977
July,62,Batorino,S2,26.0,676
July,62,Batorino,S2,26.5,1303
July,62,Batorino,S1,14.5,327
July,62,Batorino,S1,14.0,230
July,62,Batorino,S1,19.0,659
July,62,Batorino,S1,19.0,1018
July,62,Batorino,S1,19.0,1235
July,62,Batorino,S1,17.0,121
July,62,Batorino,S1,15.5,789
July,62,Batorino,S1,16.0,2093
July,62,Batorino,S1,17.0,434
July,62,Batorino,S1,20.0,2658
July,62,Batorino,S1,21.0,948
July,62,Batorino,S1,22.0,2115
September,109,Batorino,S3,18.0,1397
September,109,Batorino,S3,16.0,1106
September,109,Batorino,S3,17.5,1103
September,109,Batorino,S3,17.0,499
September,109,Batorino,S3,16.0,1248
September,109,Batorino,S3,16.0,486
September,109,Batorino,S3,20.5,1666
September,109,Batorino,S3,21.0,510
September,109,Batorino,S3,21.0,2084
September,109,Batorino,S3,21.5,2897
September,109,Batorino,S3,23.0,782
September,109,Batorino,S3,22.5,505
September,109,Batorino,S3,23.0,972
September,109,Batorino,S3,26.5,1202
September,109,Batorino,S3,21.0,366
September,109,Batorino,S2,18.0,1951
September,109,Batorino,S2,18.0,1438
September,109,Batorino,S2,17.5,775
September,109,Batorino,S2,22.0,314
September,109,Batorino,S2,20.5,1479
September,109,Batorino,S2,21.0,457
